,Location,Population,% ofworld,Date,Source (official or fromthe United Nations),
–,World,"8,118,144,000",100%,13 Jul 2024,UN projection[3],
1/2  [b],China,"1,409,670,000",17.4%,31 Dec 2023,Official estimate[5],[c]
India,"1,404,910,000",17.3%,1 Jul 2024,Official projection[6],[d],
3,United States,"335,893,238",4.1%,1 Jan 2024,Official estimate[7],[e]
4,Indonesia,"281,603,800",3.5%,1 Jul 2024,National annual projection[8],
5,Pakistan,"241,499,431",3.0%,1 Mar 2023,2023 census result[9],[f]
6,Nigeria,"223,800,000",2.8%,1 Jul 2023,Official projection[10],
7,Brazil,"203,080,756",2.5%,1 Aug 2022,2022 census result[11],
8,Bangladesh,"169,828,911",2.1%,14 Jun 2022,2022 census result[12],
9,Russia,"146,150,789",1.8%,1 Jan 2024,Official estimate[13],[g]
10,Mexico,"129,713,690",1.6%,31 Mar 2024,National quarterly estimate[14],
11,Japan,"123,890,000",1.5%,1 Jun 2024,National monthly estimate[15],
12,Philippines,"114,163,719",1.4%,1 Jul 2024,Official projection[16],
13,Ethiopia,"109,499,000",1.3%,1 Jul 2024,National annual projection[17],
14,Egypt,"105,914,499",1.3%,1 Jan 2024,Official estimate[18],
15,Vietnam,"100,300,000",1.2%,Jul 2023,Official estimate[19],
16,Democratic Republic of the Congo,"98,370,000",1.2%,1 Jul 2019,Official figure[20],
17,Turkey,"85,372,377",1.1%,31 Dec 2023,Official estimate[21],
18,Iran,"85,000,000",1.0%,16 May 2023,Official estimate[22],
19,Germany,"84,673,158",1.0%,9 Jul 2024,National quarterly estimate[23],
20,France,"68,449,000",0.8%,1 Jun 2024,Monthly national estimate[24],[h]
21,United Kingdom,"67,596,281",0.8%,30 Jun 2022,Official estimate[25],[i]
22,Thailand,"65,990,480",0.8%,1 May 2024,Monthly national estimate[26],
23,South Africa,"62,027,503",0.8%,2 Feb 2022,2022 census result[27],
24,Tanzania,"61,741,120",0.8%,23 Aug 2022,2022 census result[28],[j]
25,Italy,"58,968,501",0.7%,30 Apr 2024,Monthly national estimate[29],
26,Myanmar,"56,712,559",0.7%,1 Jul 2024,National annual projection[30],
27,Colombia,"52,695,952",0.6%,1 Jan 2024,Official projection[31],
28,Kenya,"52,428,290",0.6%,1 Jan 2024,Official projection[32],
29,South Korea,"51,285,153",0.6%,30 Apr 2024,Monthly national estimate[33],
30,Spain,"48,692,804",0.6%,1 Apr 2024,National quarterly estimate[34],
31,Argentina,"47,067,441",0.6%,1 Jul 2024,National annual projection[35],
32,Uganda,"46,930,900",0.6%,1 Jul 2024,National annual projection[36],
33,Algeria,"45,400,000",0.6%,1 Jan 2022,Official estimate[37],
34,Iraq,"44,414,800",0.5%,1 Jul 2024,Official estimate[38],
35,Sudan,"41,984,500",0.5%,1 Jul 2018,Official projection[39],
36,Canada,"41,012,563",0.5%,1 Apr 2024,National quarterly estimate[40],
37,Poland,"37,582,000",0.5%,30 Apr 2024,Monthly national estimate[41],
38,Morocco,"37,369,652",0.5%,1 Jul 2024,Official projection[42],[k]
